"id","mid","title","picurl"
"82fdd487-e840-4cad-9a47-58e87a3d5935","102","iGame GeForce RTX 5090 D v2 Vulcan OC 24GB","/content/upload/form/102/202508/e0cc54f6-736a-45ca-ba60-8f934d1124a5.jpg"
"efc38634-db71-4c0e-92dd-76e40f7a404f","102","iGame GeForce RTX 5090 D v2 Vulcan W OC 24GB","/content/upload/form/102/202508/43ae21eb-99cd-48bf-83c0-2c9fb462506d.jpg"
"7f394f2c-dd3e-4150-aea0-cefce4e2f26f","102","iGame GeForce RTX 5090 D Vulcan W OC 32GB","/content/upload/form/102/202503/466f047f-e6d6-4a5f-b0ac-dfcccb288b94.jpg"
"9e8c7465-4cbf-4865-84f0-bbe1bf9d6ac9","102"," iGame GeForce RTX 5090 D Vulcan OC 32GB","/content/upload/form/102/202501/234c6ca2-d6fd-4ea1-88e7-c2cb533274e3.jpg"
"ebd4dcef-6ad8-4249-a0b1-151238bad511","102","iGame GeForce RTX 5090 D v2 Neptune OC 24GB","/content/upload/form/102/202508/c7e4bd67-1b8f-4a1e-bb53-23821632eba9.jpg"
"c7ceae68-c03a-46b1-ade9-93a3b693f32c","102","iGame GeForce RTX 5090 D Neptune OC 32GB","/content/upload/form/102/202501/d55fc3fb-2285-43f0-a994-7631336107df.jpg"
"723cf139-291b-4af9-88a3-ceb6cd78cfa4","102","iGame GeForce RTX 5090 D v2 Advanced OC 24GB","/content/upload/form/102/202508/d27df46c-f45a-4f3c-9b61-fda3d6c6bae4.jpg"
"0349a1b0-bc67-4a36-85d9-20a8cf6bfcdf","102","iGame GeForce RTX 5090 D Advanced OC 32GB","/content/upload/form/102/202501/719c1f14-5cdc-4172-ba16-172ced01c126.jpg"
"eb25e2a8-1f57-4ea3-a5d6-fe5c03f8cbb7","102","iGame GeForce RTX 5080 Vulcan W OC 16GB","/content/upload/form/102/202504/ab2b05a9-6c31-4c64-8cf1-d0baad8956a1.jpg"
"015eea55-0fa6-4aa0-be20-9242ab2a12b9","102","iGame GeForce RTX 5080 Vulcan OC 16GB(iGame GeForce RTX 5080 Vulcan OC 16GB-T)","/content/upload/form/102/202501/8d51acfb-9620-40b7-be8c-ea5a284c7c01.jpg"
"9751f943-2e39-4e4b-afc4-68ba9b5e4579","102","iGame GeForce RTX 5080 Neptune OC 16GB","/content/upload/form/102/202501/b2469b8c-6c99-42fa-8d04-6d7886c1abf7.jpg"
"2dd0519d-9954-4f22-a4a0-ecd5ffd7fd5c","102","iGame GeForce RTX 5080 Advanced OC 16GB V2","/content/upload/form/102/202607/0aac84d6-3580-4d28-8654-eab4bb673507.jpg"
"8961f350-2143-4a11-ae0d-2b306e6fc6e3","102","iGame GeForce RTX 5080 Advanced OC 16GB","/content/upload/form/102/202501/7a9c292a-b7b2-4acb-83a5-783c65df23b9.jpg"
"9d226d80-1b12-4003-9412-74f6b604c2fa","102","iGame GeForce RTX 5080 Ultra OC 16GB V2","/content/upload/form/102/202606/e97ab5cd-ae66-4918-8489-2b56207271a3.jpg"
"09d1c3de-b553-4a72-8b98-a0eca2f9714a","102","iGame GeForce RTX 5080 Ultra W OC 16GB V2","/content/upload/form/102/202606/36ffa55d-0bf4-4dcb-8a8f-8263f41cf716.jpg"
"5e65c855-b146-43e1-9ac2-53aa4d6389c5","102","iGame GeForce RTX 5080 Ultra OC 16GB","/content/upload/form/102/202604/22ca4f5f-9222-4676-b21f-b6c74f88e2e5.jpg"
"494cc4cc-ec9c-47ee-85c4-3108692a62ab","102","iGame GeForce RTX 5080 Ultra W OC 16GB(iGame GeForce RTX 5080 Ultra W OC 16GB-T)","/content/upload/form/102/202501/cff5e3e3-73dd-4b1e-9cf0-03e55c9c19ac.jpg"
"81d0fbc8-4bc5-4ace-a518-cbd8b5ad212b","102","iGame GeForce RTX 5080 Vulcan OC 16GB V2","/content/upload/form/102/202607/28c5fd80-96f6-4a6c-8c15-d65c33a6de87.jpg"
"b026a962-57b0-462d-b45b-df100bbb79ef","102","iGame GeForce RTX 5070 Ti Vulcan X OC 16GB","/content/upload/form/102/202508/c95d6f41-74b0-4e63-a3c8-dd1345768a1a.jpg"
"95c7efb8-a3c1-45c5-b92b-23890b13492f","102","iGame GeForce RTX 5070 Ti Vulcan W OC 16GB","/content/upload/form/102/202508/0db28e97-b8e1-4bc4-a5bf-f1d61b49ed3d.jpg"
"9ad8c777-76cd-4ccc-b3d8-162a8a470638","102","iGame GeForce RTX 5070 Ti Vulcan OC 16GB","/content/upload/form/102/202502/16551030-ff49-4388-b1ee-5e5ca56329d2.jpg"
"3f15f638-914f-421e-846c-0e491722f7de","102","iGame GeForce RTX 5070 Ti Advanced OC 16GB","/content/upload/form/102/202502/b8ade47a-4330-4a58-b51d-97302d6bc031.jpg"
"9d3d240e-979e-4006-8c78-cd4c8ee9f09e","102","iGame GeForce RTX 5070 Ti Ultra Z BLACK OC 16GB","/content/upload/form/102/202603/1c83d650-436b-4fcf-82b6-fb1a8f01d59b.jpg"
"8521e421-3631-49e3-a837-a449778f8f00","102","iGame GeForce RTX 5070 Ti Ultra OC SFF 16GB","/content/upload/form/102/202603/fa845b40-c109-47de-8318-57b7230dbe35.jpg"
"b77c8bee-21b0-4f75-ac16-c8ce124f465e","102","iGame GeForce RTX 5070 Ti Ultra Z OC 16GB","/content/upload/form/102/202510/3cb54c78-764a-4570-8b80-a2ca3263edf3.jpg"
"871592c0-0b4d-43e7-abc1-cfef3e30bf4f","102","iGame GeForce RTX 5070 Ti Ultra W OC SFF 16GB(iGame GeForce RTX 5070 Ti Ultra W OC SFF 16GB-T)","/content/upload/form/102/202505/b5e1a4ba-8af7-4b6a-8c43-f25c9e2dafd2.jpg"
